Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
63,Andreas Bruus,dk DEN,"DF,MF",Aalborg,25,1999,20,19,1534,17.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,11,2,18.2,0.65,0.12,0.00,0.00,,77,53.3,78,8,1,45,0,0.70,19,29,-10,-0.59,+0.95,0,5,14,1,53,16,6,,,0
87,Andreas Cornelius,dk DEN,FW,FC Copenhagen,31,1993,19,12,1118,12.4,3,4,7,3,0,0,4,0,0.24,0.32,0.56,0.24,0.56,Matches,31,11,35.5,2.50,0.89,0.10,0.27,,59,38.8,81,6,7,21,0,2.00,26,14,+12,+0.97,+0.20,0,32,11,9,1,3,4,,,0
,Andreas Gülstorff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,
142,Andreas Hansen,dk DEN,GK,Nordsjælland,28,1995,30,30,2700,30.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,90,93.8,90,30,0,,2,1.53,53,53,0,0.00,+1.50,0,0,1,0,0,1,1,,,1
269,Andreas Oggesen,dk DEN,"DF,MF",SønderjyskE,30,1994,30,27,2466,27.4,0,6,6,0,0,0,4,0,0.00,0.22,0.22,0.00,0.22,Matches,3,0,0.0,0.11,0.00,0.00,,,82,85.6,88,20,3,31,0,1.23,41,56,-15,-0.55,-0.11,0,16,9,0,80,14,24,,,0
286,Andreas Poulsen,dk DEN,DF,Silkeborg,24,1999,21,16,1484,16.5,0,2,2,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matches,24,0,0.0,1.46,0.00,0.00,,,71,51.5,84,6,5,28,8,1.77,29,20,+9,+0.55,+0.16,0,11,9,4,68,19,18,,,0
291,Andreas Pyndt Andersen,dk DEN,MF,Silkeborg,23,2001,2,2,153,1.7,1,0,1,1,0,0,0,0,0.59,0.00,0.59,0.59,0.59,Matches,1,1,100.0,0.59,0.59,1.00,1.00,,77,5.3,77,1,0,,3,3.00,4,2,+2,+1.18,+0.75,0,0,1,0,1,4,3,,,0
175,Andres Jasson,us USA,"MF,FW",Aalborg,22,2002,31,16,1517,16.9,1,3,4,1,0,0,5,0,0.06,0.18,0.24,0.06,0.24,Matches,25,4,16.0,1.48,0.24,0.04,0.25,,49,52.7,76,4,15,20,0,0.74,18,34,-16,-0.95,+0.17,0,28,48,1,26,16,24,,,0
306,André Rømer,dk DEN,MF,Midtjylland,31,1993,4,1,194,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3,0,0.0,1.39,0.00,0.00,,,49,6.7,90,1,3,35,1,2.00,4,0,+4,+1.86,+1.25,0,1,2,0,0,2,2,,,0
307,André Rømer,dk DEN,MF,Randers,31,1993,26,22,1906,21.2,1,2,3,1,0,0,5,0,0.05,0.09,0.14,0.05,0.14,Matches,3,0,0.0,1.39,0.00,0.00,,,49,6.7,90,1,3,35,1,2.00,4,0,+4,+1.86,+1.25,0,1,2,0,0,2,2,,,0
