Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls.1;Ast.1;G+A.1;G-PK.1;G+A-PK;Matches;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Min%;PPM;+/-90;On-Off;MP_per90;Starts_per90;Min_per90;Gls_per90;Ast_per90;G+A_per90;G-PK_per90;PK_per90;PKatt_per90;CrdY_per90;CrdR_per90;Sh_per90;SoT_per90;Dist_per90;Mn/MP_per90;Mn/Start_per90;Compl_per90;Subs_per90;Mn/Sub_per90;unSub_per90;onG_per90;onGA_per90;+/-_per90;2CrdY_per90;Fls_per90;Fld_per90;Off_per90;Crs_per90;Int_per90;TklW_per90;PKwon_per90;PKcon_per90;OG_per90
304,0;Oliver Ross;dk DEN;FW,MF;Aalborg;19,0;2004,0;20,6;0,1;0,05;0,15;0,1;0,15;Matches;32,4;1,8;0,58;0,05;0,17;64,3;0,8;-1,07;-0,11;1,46;1,17;89,9;0,1;0,05;0,15;0,1;0,0;0,05;0,15;0,0;1,8;0,58;;3,01;3,45;0,24;0,29;1,26;0,05;0,92;1,99;-1,07;0,0;0,92;1,26;0,39;2,14;0,19;0,58;;;0,0
323,0;Oliver Sonne;pe PER;DF;Silkeborg;23,0;2000,0;15,5;0,19;0,26;0,45;0,19;0,45;Matches;46,2;0,84;0,39;0,23;0,5;48,4;1,44;0,26;-0,41;1,03;0,97;89,94;0,19;0,26;0,45;0,19;0,0;0,0;0,26;0,0;0,84;0,39;;5,61;5,81;0,9;0,06;2,9;0,0;1,68;1,42;0,26;0,0;0,58;0,65;0,06;3,94;0,97;1,42;;;0,06
369,0;Oliver Zandén;se SWE;DF;Randers;22,0;2001,0;3,6;0,0;0,0;0,0;0,0;0,0;Matches;0,0;0,28;0,0;0,0;;11,1;2,0;0,84;0,7;1,11;1,11;89,17;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,28;0,0;;22,22;22,22;0,56;0,0;;0,83;1,67;0,83;0,83;0,0;1,39;0,28;0,0;3,06;1,94;0,83;;;0,0
163,0;Olti Hyseni;dk DEN;FW,MF;SønderjyskE;17,0;2007,0;10,9;0,18;0,18;0,37;0,18;0,37;Matches;30,0;2,76;0,83;0,07;0,22;34,0;1,35;0,18;1,08;1,83;1,19;89,72;0,18;0,18;0,37;0,18;0,0;0,0;0,18;0,0;2,75;0,83;;4,5;5,87;0,0;0,64;1,93;0,46;1,83;1,65;0,18;0,0;2,39;1,47;0,46;1,38;0,55;0,73;;;0,0
327,0;Orri Steinn Óskarsson;is ISL;FW;FC Copenhagen;19,0;2004,0;5,3;0,95;0,0;0,95;0,95;0,95;Matches;40,0;3,78;1,51;0,25;0,63;16,5;1,83;0,76;-0,1;1,13;0,94;89,81;0,94;0,0;0,94;0,94;0,0;0,0;0,0;0,0;3,77;1,51;;14,91;16,23;0,38;0,19;8,49;0,0;2,08;1,32;0,75;0,0;0,57;0,19;1,51;0,38;0,19;0,19;;;0,0
154,0;Oscar Hedvall;dk DEN;GK;Viborg;25,0;1998,0;14,0;0,0;0,0;0,0;0,0;0,0;Matches;;0,0;0,0;;;43,8;1,64;0,5;0,5;1,0;1,0;90,0;0,0;0,0;0,0;0,0;0,0;0,0;0,07;0,0;0,0;0,0;;6,43;6,43;1,0;0,0;;1,29;1,64;1,14;0,5;0,0;0,0;0,21;0,0;0,0;0,0;0,14;;;0,0
54,0;Oskar Boesen;dk DEN;MF;Silkeborg;19,0;2005,0;4,6;0,0;0,22;0,22;0,0;0,22;Matches;20,0;1,09;0,22;0,0;0,0;14,3;1,61;0,44;-0,04;3,7;0,43;89,57;0,0;0,22;0,22;0,0;0,0;0,0;0,0;0,0;1,09;0,22;;5,22;15,0;0,0;3,26;3,91;3,04;1,52;1,09;0,43;0,0;1,3;0,43;0,22;0,65;0,22;1,96;;;0,0
72,0;Oskar Buur;dk DEN;DF;Lyngby;26,0;1998,0;9,6;0,0;0,1;0,1;0,0;0,1;Matches;66,7;0,31;0,21;0,0;0,0;30,0;1,08;-0,1;0,61;1,35;1,15;90,1;0,0;0,1;0,1;0,0;0,0;0,0;0,0;0,0;0,31;0,21;;6,98;7,71;0,42;0,21;2,71;0,0;0,83;0,94;-0,1;0,0;0,52;1,04;0,1;2,29;1,15;1,25;;;0,0
99,0;Oumar Diakhite;sn SEN;DF;Aalborg;30,0;1993,0;9,6;0,0;0,0;0,0;0,0;0,0;Matches;0,0;0,31;0,0;0,0;;30,1;0,77;-1,87;-1,2;1,35;0,94;90,21;0,0;0,0;0,0;0,0;0,0;0,0;0,42;0,0;0,31;0,0;;6,98;8,85;0,83;0,42;2,6;1,04;0,62;2,5;-1,88;0,0;0,62;0,31;0,1;0,0;1,77;1,04;;;0,1
100,0;Ousmane Diao;sn SEN;DF;Midtjylland;20,0;2004,0;22,9;0,17;0,04;0,22;0,17;0,22;Matches;31,6;0,83;0,26;0,21;0,67;71,6;1,72;0,31;-1,34;1,09;1,05;90,04;0,17;0,04;0,22;0,17;0,0;0,0;0,35;0,09;0,83;0,26;;3,58;3,71;0,83;0,04;0,57;0,22;1,75;1,44;0,31;0,09;0,96;0,22;0,0;0,04;1,09;1,31;;;0,04
149,0;Pantelis Hatzidiakos;gr GRE;DF;FC Copenhagen;27,0;1997,0;23,9;0,04;0,08;0,13;0,04;0,13;Matches;20,0;0,21;0,04;0,2;1,0;74,7;1,92;0,84;-0,03;1,0;1,0;90,04;0,04;0,08;0,13;0,04;0,0;0,0;0,29;0,0;0,21;0,04;;3,77;3,77;0,96;0,0;;0,0;1,88;1,05;0,84;0,0;0,84;0,42;0,08;0,04;0,79;0,96;;;0,0
132,0;Pascal Gregor;dk DEN;DF;Lyngby;30,0;1994,0;11,0;0,0;0,0;0,0;0,0;0,0;Matches;12,5;0,73;0,09;0,0;0,0;34,4;0,6;-0,73;-0,3;1,36;0,91;90,0;0,0;0,0;0,0;0,0;0,0;0,0;0,27;0,0;0,73;0,09;;6,0;7,82;0,82;0,45;2,45;0,09;0,64;1,36;-0,73;0,0;0,91;0,64;0,0;0,36;0,91;0,64;;;0,09
251,0;Patrick Mortensen;dk DEN;FW;AGF;35,0;1989,0;30,1;0,67;0,0;0,67;0,57;0,57;Matches;56,5;2,3;1,3;0,25;0,44;93,9;1,25;0,3;1,33;1,06;1,03;89,87;0,66;0,0;0,66;0,56;0,1;0,13;0,07;0,0;2,29;1,3;;2,82;2,86;0,73;0,03;0,93;0,0;1,66;1,36;0,3;0,0;1,3;0,86;0,27;0,03;0,23;0,13;;;0,0
284,0;Patrick Pentz;at AUT;GK;Brøndby;27,0;1997,0;30,0;0,0;0,0;0,0;0,0;0,0;Matches;;0,0;0,0;;;93,7;1,63;0,37;-0,13;1,0;1,0;89,97;0,0;0,0;0,0;0,0;0,0;0,0;0,07;0,03;0,0;0,0;;3,0;3,0;0,97;0,0;;0,0;1,83;1,47;0,37;0,03;0,0;0,17;0,0;0,0;0,0;0,0;;;0,0
171,0;Paul Izzo;au AUS;GK;Randers;29,0;1995,0;32,0;0,0;0,0;0,0;0,0;0,0;Matches;;0,0;0,0;;;100,0;1,45;0,22;;1,0;1,0;90,0;0,0;0,0;0,0;0,0;0,0;0,0;0,06;0,0;0,0;0,0;;2,81;2,81;1,0;0,0;;0,0;1,78;1,56;0,22;0,0;0,0;0,16;0,0;0,0;0,0;0,0;;;0,0
280,0;Paulinho;br BRA;DF;Midtjylland;29,0;1995,0;4,9;0,0;0,0;0,0;0,0;0,0;Matches;0,0;0,2;0,0;0,0;;15,5;1,67;0,61;-0,1;2,45;0,61;90,82;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,2;0,0;;7,55;15,1;0,0;1,84;5,1;0,61;2,04;1,43;0,61;0,0;1,02;2,24;0,61;5,31;1,63;1,43;;;0,0
59,0;Pedro Bravo;co COL;MF;Midtjylland;19,0;2004,0;14,8;0,07;0,14;0,2;0,07;0,2;Matches;50,0;0,27;0,14;0,25;0,5;46,1;1,83;0,68;-0,02;1,55;0,95;89,73;0,07;0,14;0,2;0,07;0,0;0,0;0,27;0,0;0,27;0,14;;3,92;5,47;0,54;0,61;1,49;0,14;2,16;1,49;0,68;0,0;1,49;0,74;0,0;0,27;1,15;3,11;;;0,0
128,0;Pedro Ganchas;pt POR;DF;Silkeborg;24,0;2000,0;25,0;0,04;0,0;0,04;0,04;0,04;Matches;50,0;0,32;0,16;0,13;0,25;78,1;1,62;0,48;0,05;1,0;1,0;90,0;0,04;0,0;0,04;0,04;0,0;0,0;0,12;0,0;0,32;0,16;;3,6;3,6;1,0;0,0;;0,2;1,76;1,28;0,48;0,0;0,92;0,68;0,0;0,08;1,52;0,48;;;0,0
243,0;Pelle Mattsson;dk DEN;MF;Silkeborg;22,0;2001,0;23,5;0,04;0,13;0,17;0,04;0,17;Matches;36,4;0,94;0,34;0,05;0,13;73,4;1,54;0,51;0,16;1,06;1,06;89,91;0,04;0,13;0,17;0,04;0,0;0,0;0,3;0,0;0,94;0,34;;3,62;3,62;0,85;0,0;;0,0;1,66;1,15;0,51;0,0;1,49;3,19;0,0;0,3;1,49;1,45;;;0,0
25,0;Peter Ankersen;dk DEN;DF;Nordsjælland;33,0;1990,0;28,9;0,1;0,14;0,24;0,1;0,24;Matches;40,0;1,21;0,48;0,09;0,21;90,3;1,59;0,17;2,75;1,0;1,0;90,0;0,1;0,14;0,24;0,1;0,0;0,0;0,31;0,0;1,21;0,48;;3,11;3,11;0,9;0,0;;0,0;1,73;1,56;0,17;0,0;0,66;0,93;0,14;4,08;0,55;1,07;;;0,0
214,0;Peter Langhoff;dk DEN;MF;Lyngby;20,0;2004,0;14,4;0,0;0,0;0,0;0,0;0,0;Matches;66,7;0,21;0,14;0,0;0,0;45,1;1,24;-0,21;0,59;1,18;0,97;90,28;0,0;0,0;0,0;0,0;0,0;0,0;0,21;0,0;0,21;0,14;;5,28;6,18;0,9;0,21;1,18;0,62;0,97;1,18;-0,21;0,0;1,6;1,18;0,0;0,69;1,11;1,67;;;0,0
301,0;Pontus Rödin;se SWE;DF;Silkeborg;23,0;2000,0;13,9;0,14;0,0;0,14;0,14;0,14;Matches;44,4;0,65;0,29;0,22;0,5;43,3;1,79;0,94;0,83;1,01;1,01;89,71;0,14;0,0;0,14;0,14;0,0;0,0;0,0;0,0;0,65;0,29;;6,4;6,4;0,94;0,0;;0,07;2,01;1,08;0,94;0,0;0,36;0,14;0,0;0,22;1,08;1,01;;;0,0
276,0;Ramazan Orazov;kz KAZ;MF,FW;Silkeborg;26,0;1998,0;5,0;0,4;0,0;0,4;0,4;0,4;Matches;50,0;1,21;0,6;0,33;0,67;15,6;2,19;1,41;1,11;3,2;0,8;89,6;0,4;0,0;0,4;0,4;0,0;0,0;0,0;0,0;1,2;0,6;;5,6;13,2;0,2;2,4;3,0;2,6;2,4;1,0;1,4;0,0;1,0;0,4;0,2;1,6;0,8;1,0;;;0,0
