Rk;Player;Nation;Pos;Squad;Age;Born;90s;Matches;Touches_per90;Def Pen_per90;Def 3rd_per90;Mid 3rd_per90;Att 3rd_per90;Att Pen_per90;Live_per90;Att_per90;Succ_per90;Succ%_per90;Tkld_per90;Tkld%_per90;Carries_per90;TotDist_per90;PrgDist_per90;PrgC_per90;1/3_per90;CPA_per90;Mis_per90;Dis_per90;Rec_per90;PrgR_per90;SCA_per90;SCA90_per90;PassLive_per90;PassDead_per90;TO_per90;Sh_per90;Fld_per90;Def_per90;GCA_per90;GCA90_per90;PassLive.1_per90;PassDead.1_per90;TO.1_per90;Sh.1_per90;Fld.1_per90;Def.1_per90
198;Anthony Jung;de GER;DF;Werder Bremen;33-202;1991,0;21,1;Matches;80,33;10,95;42,7;34,74;3,41;0,05;80,33;0,43;0,33;3,69;0,05;0,53;49,48;224,12;110,05;0,95;0,95;0,0;0,62;0,09;55,21;0,28;0,66;0,03;0,66;0,0;0,0;0,0;0,0;0,0;0,05;0,0;0,05;0,0;0,0;0,0;0,0;0,0
248;Anthony Losilla;fr FRA;MF;Bochum;39-075;1986,0;12,6;Matches;43,41;2,94;11,83;24,84;7,06;0,16;43,41;0,4;0,08;1,59;0,32;6,35;17,7;64,29;25,87;0,24;0,24;0,08;0,79;0,56;22,54;0,87;1,51;0,12;1,43;0,0;0,0;0,0;0,08;0,0;0,16;0,01;0,16;0,0;0,0;0,0;0,0;0,0
365;Anthony Rouault;fr FRA;DF;Stuttgart;23-360;2001,0;13,5;Matches;75,11;9,26;37,93;35,26;2,44;0,81;75,11;0,37;0,15;2,96;0,22;4,44;42,44;188,52;83,04;0,44;0,44;0,0;0,3;0,3;51,63;0,3;0,81;0,06;0,67;0,0;0,0;0,0;0,07;0,07;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
411;Anton Stach;de GER;MF,DF;Hoffenheim;26-190;1998,0;28,7;Matches;67,07;4,91;20,14;37,53;10,17;1,11;67,07;1,22;0,52;1,49;0,63;1,79;34,91;181,92;102,16;1,15;1,08;0,17;0,8;0,35;39,58;1,25;2,2;0,08;1,74;0,03;0,14;0,14;0,1;0,03;0,17;0,01;0,17;0,0;0,0;0,0;0,0;0,0
310;Antonio Nusa;no NOR;MF,DF;RB Leipzig;20-037;2005,0;17,3;Matches;46,36;1,1;7,92;18,27;20,92;3,12;46,36;4,97;2,25;2,62;2,25;2,62;27,75;182,89;94,45;3,29;2,08;1,5;2,2;1,79;32,2;7,11;2,37;0,14;1,68;0,0;0,46;0,0;0,23;0,0;0,29;0,02;0,23;0,0;0,0;0,0;0,06;0,0
136;Armin Gigovic;ba BIH;MF;Holstein Kiel;23-048;2002,0;21,1;Matches;44,31;2,65;11,37;24,12;9,53;1,8;44,31;2,61;0,95;1,73;1,23;2,24;22,56;141,52;60,09;1,75;1,09;0,33;2,13;1,09;25,4;2,13;1,85;0,09;1,37;0,09;0,05;0,05;0,28;0,0;0,33;0,02;0,14;0,05;0,05;0,0;0,09;0,0
394;Armindo Sieb;de GER;FW,MF;Mainz 05;22-096;2003,0;8,5;Matches;39,18;0,47;3,88;17,29;18,35;5,41;39,18;4,24;1,29;3,6;2,82;7,85;21,65;139,65;64,82;3,29;0,82;0,94;3,88;2,94;28,0;7,53;2,0;0,24;1,18;0,0;0,24;0,47;0,12;0,0;0,47;0,06;0,35;0,0;0,0;0,12;0,0;0,0
253;Arne Maier;de GER;MF;Augsburg;26-136;1999,0;10,4;Matches;67,21;1,54;9,9;31,44;26,44;2,02;67,21;1,54;0,67;4,21;0,87;5,41;37,5;167,31;79,13;1,83;1,73;0,48;2,02;0,87;43,37;5,38;4,23;0,41;2,4;1,63;0,0;0,19;0,0;0,0;0,38;0,04;0,1;0,19;0,0;0,1;0,0;0,0
18;Arthur;br BRA;DF;Leverkusen;22-068;2003,0;8,4;Matches;60,48;1,79;14,17;26,19;20,6;1,55;60,48;2,86;0,6;2,48;2,26;9,43;28,81;150,48;83,1;1,79;1,67;0,24;1,55;0,71;36,79;6,31;0,83;0,1;0,83;0,0;0,0;0,0;0,0;0,0;0,12;0,01;0,12;0,0;0,0;0,0;0,0;0,0
79;Arthur Chaves;br BRA;DF;Hoffenheim;24-115;2001,0;24,3;Matches;62,26;7,16;27,57;30,7;4,57;0,91;62,26;0,41;0,12;1,23;0,25;2,47;30,45;119,05;54,07;0,41;0,7;0,0;0,45;0,45;37,82;0,53;0,95;0,04;0,78;0,0;0,0;0,08;0,04;0,04;0,04;0,0;0,0;0,0;0,0;0,04;0,0;0,0
429;Arthur Theate;be BEL;DF;Eint Frankfurt;24-364;2000,0;30,0;Matches;74,33;7,9;30,07;37,8;7,1;1,1;74,33;0,43;0,33;2,56;0,1;0,77;44,03;209,9;120,37;1,67;1,2;0,03;0,7;0,23;47,7;0,8;1,57;0,05;1,17;0,03;0,0;0,2;0,1;0,07;0,23;0,01;0,2;0,0;0,0;0,03;0,0;0,0
457;Arthur Vermeeren;be BEL;MF;RB Leipzig;20-106;2005,0;17,5;Matches;63,37;2,63;14,29;38,23;11,49;0,34;63,37;0,86;0,34;2,29;0,51;3,43;30,63;124,23;56,69;0,8;0,91;0,06;1,09;0,69;43,03;1,14;1,6;0,09;1,54;0,0;0,0;0,0;0,0;0,06;0,11;0,01;0,11;0,0;0,0;0,0;0,0;0,0
463;Aster Vranckx;be BEL;MF;Wolfsburg;22-232;2002,0;6,2;Matches;44,52;4,84;15,16;24,03;5,97;0,65;44,52;0,97;0,81;13,44;0,16;2,69;19,84;78,55;33,23;0,81;0,32;0,0;2,1;0,81;23,23;0,97;0,97;0,16;0,81;0,0;0,0;0,0;0,16;0,0;0,16;0,03;0,16;0,0;0,0;0,0;0,0;0,0
208;Atakan Karazor;;MF;Stuttgart;28-223;1996,0;29,1;Matches;72,99;2,96;14,33;46,77;12,34;0,93;72,99;0,72;0,41;1,96;0,14;0,65;38,21;160,69;68,28;0,65;1,13;0,03;1,03;0,55;49,0;1,13;1,48;0,05;1,17;0,03;0,0;0,1;0,1;0,07;0,24;0,01;0,17;0,0;0,0;0,03;0,0;0,03
436;Bazoumana Touré;ci CIV;FW,MF;Hoffenheim;19-083;2006,0;6,8;Matches;42,79;0,59;5,44;15,44;22,94;5,29;42,79;3,24;1,76;8,01;1,32;6,01;26,91;172,79;85,29;3,53;1,76;1,62;5,29;1,18;29,12;8,24;3,68;0,54;2,5;0,0;0,44;0,44;0,15;0,15;0,59;0,09;0,44;0,0;0,0;0,0;0,0;0,15
93;Bence Dárdai;hu HUN;MF;Wolfsburg;19-120;2006,0;14,5;Matches;41,03;1,72;9,93;21,66;9,45;1,24;41,03;0,83;0,21;1,72;0,34;2,88;19,79;70,14;26,34;0,34;0,41;0,0;1,24;0,76;23,24;1,66;1,66;0,11;1,17;0,0;0,0;0,28;0,21;0,0;0,14;0,01;0,07;0,0;0,0;0,0;0,07;0,0
174;Benedict Hollerbach;de GER;FW,MF;Union Berlin;24-007;2001,0;28,2;Matches;39,43;0,67;4,43;15,82;20,11;4,89;39,43;4,08;1,49;1,29;2,2;1,91;25,18;193,69;91,56;3,65;2,41;1,84;3,94;3,33;27,7;7,59;2,8;0,1;1,74;0,04;0,43;0,35;0,21;0,04;0,25;0,01;0,11;0,0;0,04;0,04;0,07;0,0
137;Benedikt Gimber;de GER;DF;Heidenheim;28-094;1997,0;29,7;Matches;55,32;6,7;31,62;22,36;1,99;0,74;55,32;0,54;0,27;1,68;0,13;0,84;29,12;127,41;56,33;0,24;0,3;0,0;0,84;0,24;32,49;0,27;0,51;0,02;0,4;0,0;0,0;0,03;0,03;0,03;0,03;0,0;0,0;0,0;0,0;0,0;0,03;0,0
339;Benedikt Pichler;at AUT;FW;Holstein Kiel;27-308;1997,0;8,7;Matches;35,63;1,49;3,33;17,13;15,29;5,06;35,63;2,07;0,92;5,1;1,03;5,75;17,47;99,2;44,02;2,07;0,8;0,92;2,64;1,38;26,44;6,67;3,45;0,4;2,3;0,11;0,23;0,57;0,23;0,0;0,34;0,04;0,23;0,0;0,11;0,0;0,0;0,0
166;Benjamin Henrichs;de GER;DF;RB Leipzig;28-090;1997,0;10,4;Matches;58,27;4,04;18,17;25,87;14,81;0,77;58,27;1,25;0,87;6,65;0,38;2,96;27,88;123,56;42,12;0,87;0,67;0,0;0,87;0,58;33,17;5,29;1,92;0,19;1,73;0,1;0,0;0,1;0,0;0,0;0,38;0,04;0,38;0,0;0,0;0,0;0,0;0,0
393;Benjamin Šeško;si SVN;FW,MF;RB Leipzig;21-358;2003,0;26,4;Matches;34,13;0,95;3,41;17,92;13,52;3,45;34,05;2,84;1,48;1,97;1,21;1,62;16,82;101,14;46,59;1,78;1,1;0,53;2,5;2,08;26,21;5,34;1,93;0,07;1,17;0,0;0,42;0,27;0,08;0,0;0,34;0,01;0,15;0,0;0,08;0,08;0,04;0,0
45;Bernardo;br BRA;DF;Bochum;30-010;1995,0;19,8;Matches;63,08;5,96;27,93;30,56;4,95;1,41;63,08;0,25;0,15;3,03;0,1;2,02;31,82;159,8;74,49;0,71;0,35;0,05;0,56;0,4;35,0;0,71;1,11;0,06;0,91;0,05;0,0;0,1;0,0;0,05;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
