Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
175,Lewis Holtby,de GER,MF,Holstein Kiel,34-248,1990.0,13.8,847,43,252,429,171,14,847,15,7,46.7,7,46.7,372,1569,698,14,10,1,15,8,485,34,Matches,37,2.69,19,13,0,1,3,1,3,0.22,1,1,0,0,1,0
255,Lovro Majer,hr CRO,MF,Wolfsburg,27-127,1998.0,3.4,175,4,25,72,80,10,174,10,5,50.0,3,30.0,111,603,266,8,4,2,5,7,122,10,Matches,13,3.85,9,3,0,1,0,0,2,0.59,1,1,0,0,0,0
319,Loïs Openda,be BEL,"FW,MF",RB Leipzig,25-097,2000.0,27.3,904,12,54,368,492,158,903,74,22,29.7,37,50.0,521,2988,1477,58,26,37,82,27,718,229,Matches,66,2.42,41,0,4,10,11,0,10,0.37,5,0,0,2,3,0
192,Luca Jaquez,ch SUI,DF,Stuttgart,21-356,2003.0,2.8,227,10,82,133,13,1,227,0,0,,0,,166,1091,621,5,2,0,1,0,182,0,Matches,5,1.77,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
214,Luca Kerber,de GER,"MF,DF",Heidenheim,23-075,2002.0,8.7,364,33,131,173,62,11,364,5,1,20.0,3,60.0,175,676,255,1,0,1,12,4,199,12,Matches,9,1.03,7,0,0,1,1,0,1,0.11,0,0,0,1,0,0
299,Luca Netz,de GER,DF,Gladbach,22-009,2003.0,10.8,666,44,241,257,172,17,666,21,6,28.6,14,66.7,288,1198,668,16,11,3,14,10,387,55,Matches,27,2.51,25,1,0,0,0,1,4,0.37,4,0,0,0,0,0
337,Luca Philipp,de GER,GK,Hoffenheim,24-177,2000.0,6.0,215,177,213,2,0,0,215,0,0,,0,,100,530,230,0,0,0,0,0,89,0,Matches,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
173,Lucas Höler,de GER,"FW,MF",Freiburg,30-318,1994.0,20.7,854,40,132,382,352,89,853,34,18,52.9,13,38.2,395,1593,673,21,12,7,52,24,571,122,Matches,51,2.46,37,1,2,7,4,0,6,0.29,3,0,1,1,1,0
437,Lucas Tousart,fr FRA,MF,Union Berlin,28-025,1997.0,6.2,264,31,84,128,57,20,264,11,5,45.5,6,54.5,94,453,196,4,0,1,8,5,101,13,Matches,12,1.93,8,0,0,2,1,1,2,0.32,1,0,0,1,0,0
94,Lukas Daschner,de GER,"MF,FW",Bochum,26-235,1998.0,4.6,213,5,26,100,90,14,212,15,5,33.3,10,66.7,116,606,260,8,7,1,21,2,131,19,Matches,10,2.18,7,2,1,0,0,0,1,0.22,1,0,0,0,0,0
218,Lukas Klostermann,de GER,DF,RB Leipzig,28-355,1996.0,20.4,1472,161,608,751,118,13,1472,5,4,80.0,1,20.0,752,3051,1573,16,14,1,9,0,988,26,Matches,17,0.83,14,2,0,1,0,0,2,0.1,2,0,0,0,0,0
236,Lukas Kübler,de GER,DF,Freiburg,32-267,1992.0,20.5,1268,75,370,650,258,26,1268,9,0,0.0,7,77.8,519,2373,1091,24,17,3,12,7,681,49,Matches,26,1.27,21,1,0,4,0,0,4,0.2,3,0,0,1,0,0
307,Lukas Nmecha,de GER,"FW,MF",Wolfsburg,26-161,1998.0,5.2,183,7,17,79,89,24,183,8,4,50.0,3,37.5,109,470,173,8,4,3,14,3,139,32,Matches,8,1.54,5,0,1,1,1,0,1,0.19,0,0,0,1,0,0
443,Lukas Ullrich,de GER,DF,Gladbach,21-069,2004.0,21.1,1073,82,432,434,218,26,1073,24,8,33.3,13,54.2,531,2734,1370,31,19,4,21,12,612,71,Matches,28,1.32,24,1,1,1,1,0,5,0.24,5,0,0,0,0,0
180,Lukáš Hrádecký,fi FIN,GK,Leverkusen,35-181,1989.0,29.0,962,782,952,11,0,0,962,0,0,,0,,538,2925,1638,0,0,0,0,0,504,0,Matches,4,0.14,4,0,0,0,0,0,1,0.03,1,0,0,0,0,0
130,Lutsharel Geertruida,nl NED,DF,RB Leipzig,24-310,2000.0,17.3,1266,61,375,758,147,19,1266,14,7,50.0,7,50.0,642,2612,1357,21,15,3,14,4,839,34,Matches,25,1.45,22,1,0,0,0,2,1,0.06,1,0,0,0,0,0
41,László Bénes,sk SVK,"MF,FW",Union Berlin,27-257,1997.0,6.5,400,1,53,189,160,13,400,5,1,20.0,4,80.0,207,788,352,6,7,3,8,5,247,34,Matches,30,4.58,17,12,0,1,0,0,1,0.15,0,1,0,0,0,0
391,Léo Scienza,br BRA,"FW,MF",Heidenheim,26-253,1998.0,12.8,584,8,71,248,286,44,584,83,37,44.6,35,42.2,368,3423,2126,70,40,17,41,13,369,90,Matches,82,6.39,31,20,10,3,18,0,7,0.55,3,2,0,0,2,0
451,Maarten Vandevoordt,be BEL,GK,RB Leipzig,23-087,2002.0,4.8,185,131,174,11,0,0,185,0,0,,0,,99,480,280,0,0,0,0,0,87,0,Matches,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
333,Mads Pedersen,dk DEN,DF,Augsburg,28-265,1996.0,2.6,123,7,34,45,47,5,123,8,2,25.0,6,75.0,53,250,111,1,3,1,4,1,58,10,Matches,4,1.53,1,2,0,1,0,0,0,0.0,0,0,0,0,0,0
360,Mads Roerslev,dk DEN,DF,Wolfsburg,25-334,1999.0,3.3,215,17,78,92,47,2,215,6,2,33.3,4,66.7,102,508,255,7,5,1,2,6,129,18,Matches,6,1.81,5,0,0,0,1,0,2,0.6,2,0,0,0,0,0
220,Magnus Knudsen,no NOR,MF,Holstein Kiel,23-343,2001.0,20.6,987,60,332,548,113,9,987,16,9,56.3,7,43.8,488,2507,1221,16,10,2,26,10,613,25,Matches,32,1.56,25,0,1,2,4,0,4,0.19,4,0,0,0,0,0
91,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,29-143,1996.0,4.0,263,8,65,150,49,3,263,3,1,33.3,2,66.7,160,521,211,1,6,0,4,2,192,6,Matches,13,3.21,10,0,0,2,0,1,2,0.49,1,0,0,0,0,1
372,Manolis Saliakas,gr GRE,"MF,DF",St. Pauli,28-254,1996.0,25.7,1560,73,447,688,430,30,1560,9,3,33.3,5,55.6,653,2383,1293,28,34,2,6,6,876,80,Matches,59,2.29,43,10,1,2,3,0,5,0.19,4,0,0,0,1,0
300,Manuel Neuer,de GER,GK,Bayern Munich,39-058,1986.0,22.0,956,553,900,58,0,0,956,1,1,100.0,0,0.0,638,3260,1880,0,0,0,0,0,697,0,Matches,3,0.14,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
370,Marcel Sabitzer,at AUT,MF,Dortmund,31-068,1994.0,18.0,1028,37,131,581,322,31,1028,15,6,40.0,9,60.0,577,2494,1255,24,31,3,22,12,717,70,Matches,42,2.34,26,3,1,6,1,5,6,0.33,2,0,0,0,1,3
